Disease,Symptoms
Hyperthyroidism,weight loss heat intolerance palpitations tremor anxiety
Cushing’s Syndrome,weight gain moon face central obesity skin thinning
Addison’s Disease,weight loss fatigue hypotension hyperpigmentation salt craving
Polycystic Ovary Syndrome (PCOS),irregular periods hirsutism acne weight gain infertility
Metabolic Syndrome,abdominal obesity high blood pressure high blood sugar high triglycerides low hdl
Obesity,excess body weight fatigue sleep apnea joint pain
Hyperlipidemia,high cholesterol often asymptomatic xanthomas
Urinary Tract Infection (UTI),burning urination frequency urgency suprapubic pain
Kidney Stones,flank pain hematuria nausea vomiting
Acute Kidney Injury (AKI),reduced urine output fluid overload fatigue
Chronic Kidney Disease (CKD),fatigue edema decreased appetite pruritus nocturia
Glomerulonephritis,hematuria edema hypertension foamy urine
Nephrotic Syndrome,edema frothy urine hyperlipidemia fatigue
Prostatitis,pelvic pain painful urination urinary frequency fever
Eczema (Atopic Dermatitis),itchy dry skin rash flexural involvement
Psoriasis,scaly plaques extensor surfaces nail pitting
Urticaria (Hives),itchy wheals transient raised rash
Fungal Skin Infection (Ringworm, Athlete’s Foot),itchy ring-shaped rash scaling
Acne,facial papules pustules comedones oily skin
Vitiligo,depigmented macules patches
Rosacea,facial flushing papules telangiectasia
Scabies,intense nocturnal itching burrows rash web spaces
Anemia,fatigue pallor shortness of breath dizziness
Thalassemia,anemia pallor jaundice bone deformities (severe)
Sickle Cell Disease,pain crises anemia jaundice infections
Hemophilia,excessive bleeding joint bleeds prolonged bleeding
Leukemia,fever fatigue bruising bleeding infections
Lymphoma,lymph node enlargement fever night sweats weight loss
Myeloma (Multiple Myeloma),bone pain anemia recurrent infections hypercalcemia
